2022-05-20 04:28:36,779 p=102868 u=root n=ansible | PLAY [Configuring Master] *****************************************************************************************************
2022-05-20 04:33:42,584 p=102868 u=root n=ansible | TASK [k8s_master : Building Kubernetes Web] ***********************************************************************************
2022-05-20 04:33:57,093 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:33:57,098 p=102868 u=root n=ansible | TASK [k8s_master : Create a token to join the slave nodes] ********************************************************************
2022-05-20 04:34:14,614 p=102868 u=root n=ansible | changed: [54.91.216.51]
2022-05-20 04:34:14,619 p=102868 u=root n=ansible | TASK [k8s_master : Print the command to join the slave nodes] *****************************************************************
2022-05-20 04:34:14,660 p=102868 u=root n=ansible | ok: [54.91.216.51] => {
    "join_command.stdout_lines": [
        "kubeadm join 172.31.22.0:6443 --token zlpkts.hen4t5rq4hfuarib --discovery-token-ca-cert-hash sha256:b143c2916bb1e28cba686e2923bdc4861270df6809631e34329bde089a8397dd "
    ]
}
2022-05-20 04:34:36,213 p=102868 u=root n=ansible | PLAY [Configuring Slave] ******************************************************************************************************
2022-05-20 04:34:36,227 p=102868 u=root n=ansible | TASK [Gathering Facts] ********************************************************************************************************
2022-05-20 04:34:48,265 p=102868 u=root n=ansible | ok: [3.85.134.176]
2022-05-20 04:34:49,044 p=102868 u=root n=ansible | ok: [54.88.55.143]
2022-05-20 04:34:49,495 p=102868 u=root n=ansible | ok: [54.235.23.38]
2022-05-20 04:34:49,554 p=102868 u=root n=ansible | ok: [54.82.86.157]
2022-05-20 04:34:49,563 p=102868 u=root n=ansible | TASK [k8s_slave : Install docker] *********************************************************************************************
2022-05-20 04:34:49,629 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:49,645 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:49,652 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:49,699 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:49,705 p=102868 u=root n=ansible | TASK [k8s_slave : Update docker driver to systemd] ****************************************************************************
2022-05-20 04:34:49,753 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:49,815 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:49,824 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:49,824 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:49,832 p=102868 u=root n=ansible | TASK [k8s_slave : Start and Enable docker] ************************************************************************************
2022-05-20 04:34:49,897 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:49,912 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:49,952 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:49,968 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:49,984 p=102868 u=root n=ansible | TASK [k8s_slave : Configure yum for kubernetes] *******************************************************************************
2022-05-20 04:34:50,072 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:50,114 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:50,122 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:50,128 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:50,135 p=102868 u=root n=ansible | TASK [k8s_slave : Install kubelet, kubeadm and kubectl packages] **************************************************************
2022-05-20 04:34:50,205 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:50,244 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:50,301 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:50,312 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:50,320 p=102868 u=root n=ansible | TASK [k8s_slave : Enable kubelet] *********************************************************************************************
2022-05-20 04:34:50,391 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:50,464 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:50,467 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:50,477 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:50,485 p=102868 u=root n=ansible | TASK [k8s_slave : Install iproute-tc package] *********************************************************************************
2022-05-20 04:34:50,575 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:50,604 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:50,614 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:50,652 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:50,665 p=102868 u=root n=ansible | TASK [k8s_slave : Copy k8s.conf file for bridging] ****************************************************************************
2022-05-20 04:34:50,813 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:50,882 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:50,899 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:50,905 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:50,921 p=102868 u=root n=ansible | TASK [k8s_slave : Enabling bridging for kernel in the slave node] *************************************************************
2022-05-20 04:34:51,014 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:51,015 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,049 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,066 p=102868 u=root n=ansible | skipping: [54.88.55.143]
